code,name,net_assets_billion,close_price,nav,market_cap
471760,TIGER AI반도체핵심공정,1500,16665,16670.99,142485750000
157490,TIGER 소프트웨어,1441,10115,10089.12,146465200000
367770,RISE 수소경제테마,1411,23090,23129.47,140849000000
438570,SOL 국고채10년,1381,100820,100832.8,137921760000
228810,TIGER 미디어컨텐츠,1363,5855,5845.32,139466100000
495230,KoAct 코리아밸류업액티브,1357,23640,23595.16,132384000000
290130,RISE ESG사회책임투자,1301,31415,31356.43,130372250000
474590,WON 반도체밸류체인액티브,1276,26355,26317.25,127821750000
152870,파워 200,1190,79275,79309.3,118912500000
490480,SOL K방산,1187,35400,35446.12,115050000000
364960,TIGER BBIG,1177,7285,7265.14,118745500000
442570,RISE TDF2050액티브,1173,16210,16172.63,115091000000
332500,ACE 200TR,1154,52380,52457.79,115236000000
441540,HANARO Fn조선해운,1138,32450,32519.99,113575000000
433980,KODEX TDF2040액티브,1132,15330,15291.69,113442000000
261070,TIGER 코스닥150바이오테크,1115,20765,20727.12,105070900000
328370,PLUS 코스피TR,1105,29385,29476.59,110193750000
451530,TIGER 국고채30년스트립액티브,1088,47115,47116.42,111662550000
469170,ACE 포스코그룹포커스,1088,7185,7182.09,109571250000
495710,BNK 26-06 특수채(AAA이상)액티브,1080,51285,51273.66,108006210000
329660,KODEX TRF5050,1064,17720,17736.36,106320000000
266420,KODEX 헬스케어,1044,23675,23716.72,104170000000
401170,RISE 메타버스,1027,7930,7910.7,103883000000
367760,RISE 네트워크인프라,1023,28720,28808.5,104828000000
363580,KODEX 200IT TR,1012,29800,29776.15,101320000000
228800,TIGER 여행레저,1007,3480,3488.92,101581200000
